species,ena_sig,ena_all,atl_sig,atl_all,miss_sig,miss_all,insects,seeds,fruit,migration
AMCR,0.032531794,0.032531794,0.03455412,0.03455412,0.02926774,0.02926774,0.2,0.4,0.4,Resident
AMGO,0.026238825,0.026238825,0.052394625,0.052394625,0.017425958,0.017425958,0.05,0.95,0,Short
AMPI,0.021127022,0.021127022,0,0.020905648,0.038878045,0.038878045,0.9,0.1,0,Moderate
AMRO,0.160363978,0.160363978,0.16915789,0.16915789,0.123498178,0.123498178,0.05,0,0.95,Short
ATSP,0.007572061,0.007572061,0.009768229,0.009768229,0,0.007028854,0,1,0,Moderate
BCCH,0.015081648,0.015081648,0.013585156,0.013585156,0.014250412,0.014250412,0.5,0.25,0.25,Resident
BGGN,0.007044549,0.007044549,0.01303979,0.01303979,0.00446117,0.00446117,1,0,0,Short
BHCO,0,0.036591058,0,-0.024622485,0,0.049622033,0.05,0.95,0,Short
BHNU,0.029899188,0.029899188,0.028835621,0.028835621,0.01968948,0.01968948,0.1,0.9,0,Resident
BHVI,-0.010823653,-0.010823653,-0.014051549,-0.014051549,0.004475276,0.004475276,0.9,0,0.1,Moderate
BLJA,0,0.002619962,0,-0.003528781,0,0.00796564,0.2,0.7,0.1,Resident
BRCR,0,-0.000178667,0,0.002699778,0,-0.002114846,0.9,0.1,0,Short
BRTH,0.047464762,0.047464762,0.040445498,0.040445498,0.044896542,0.044896542,0.4,0,0.6,Short
CACH,0,0.003797703,0,-0.002331284,0.010917468,0.010917468,0.4,0.3,0.3,Resident
CARW,0.056051013,0.056051013,0.053223149,0.053223149,0.062410071,0.062410071,0.9,0.1,0,Resident
CEDW,0,0.003199357,0,0.009149547,0,-0.002197376,0,0,1,Irruptive
CHSP,0.022613567,0.022613567,0.022006385,0.022006385,0.027764656,0.027764656,0,0.9,0.1,Short
COGR,0.061652472,0.061652472,0,0.013880316,0.08577992,0.08577992,0,0.9,0.1,Short
COYE,0.011502489,0.011502489,0.011370051,0.011370051,0.024252048,0.024252048,1,0,0,Short
DEJU,0.02466853,0.02466853,0.03605711,0.03605711,0.017991719,0.017991719,0.1,0.9,0,Short
DOWO,0.008548673,0.008548673,0,-0.002581317,0.015577895,0.015577895,0.8,0.1,0.1,Resident
EABL,0.049478108,0.049478108,0.05627328,0.05627328,0.038913238,0.038913238,0.3,0,0.7,Short
EAME,0,0.002676406,0,-0.004865406,0.010813914,0.010813914,0,0.9,0.1,Resident
EAPH,0.015915259,0.015915259,0,0.005788594,0.037239931,0.037239931,0.9,0,0.1,Short
